part_number,name,model_number,equipment,engineering_system,unit_of_measure,quantity_in_stock,unit_price,minimum_stock,supplier,location,rack,row,bin,picture_1_path,picture_2_path,notes,status,last_updated
$GP208758,"REMOVE BEFORE FLIGHT RED FLAG 2 X24""",,MISCELLANEOUS,MECHANICAL,EA,16.0,0.01,1.0,McMASTER CARR,CABINET C,2,H,1,,,,Active,2026-05-09 12:25:38
$K-PA$P-1-A,SEAL KIT,,MISCELLANEOUS,MECHANICAL,EA,1.0,0.01,1.0,AIRR ENGINEERING,CABINET C,2,H,,,,,Active,2026-05-09 12:25:38
0 450 904 058,FUEL FLITER,,MISCELLANEOUS,MECHANICAL,EA,5.0,4.5,1.0,,CABINET C,3,L,6,,,,Active,2026-05-09 12:25:38
00131-011-000,AIR HYDRAULIC PUMP,,MISCELLANEOUS,HYDRAULIC,EA,1.0,875.0,1.0,HYRDO PRECISION,3RD FLR. MRO,2,2,,,,,Active,2026-05-09 12:25:38
00166-024-000,SWIVEL CASTER,,MISCELLANEOUS,MECHANICAL,EA,3.0,23.97,1.0,LENKROLLE,CABINET C,2,F,4,,,,Active,2026-05-09 12:25:38
003-28600,MALE GREY CONNECTOR 50MM (160A),MASTER MOVER APPROVED SPARE PARTS,MISCELLANEOUS,ELECTRICAL CABINET,EA,1.0,0.01,1.0,,CABINET I,2,1,1,,,,Active,2026-05-09 12:25:38
003-28800,160/320 HANDLE BLK + 4 SCREWS (MT),MASTER MOVER APPROVED SPARE PARTS,MISCELLANEOUS,ELECTRICAL CABINET,EA,1.0,0.01,1.0,,CABINET I,2,1,1,,,,Active,2026-05-09 12:25:38
00302-051-000,WIPER,,MISCELLANEOUS,MECHANICAL,EA,4.0,0.01,0.0,HYRDO SYSTEM,CABINET C,2,D,6,,,,Active,2026-05-09 12:25:38
00407-008-000,CLIP PIN,,MISCELLANEOUS,MISCELLANEOUS,EA,0.0,14.0,0.0,HYDRO,CABINET C,,,,,,,Active,2026-05-09 12:25:38
00409-035-000,LINCHPIN COMPL.,,MISCELLANEOUS,MISCELLANEOUS,EA,0.0,139.0,0.0,HYDRO,CABINET C,,,,,,,Active,2026-05-09 12:25:38
00411-056-000,DRAIN PLUS GASKET,,MISCELLANEOUS,MECHANICAL,EA,12.0,1.5,1.0,HYDRO SYSTEMS,CABINET C,1,F,7,,,,Active,2026-05-09 12:25:38
00432-513-00,RETAINING PIN,,MISCELLANEOUS,MECHANICAL,EA,12.0,9.49,1.0,,CABINET C,2,B,10,,,,Active,2026-05-09 12:25:38
